18332	
	(-0.002009677659,0.0005577478572)	(-0.004201736281,0.001276414794)	(-0.001757831704,0.0004721282205)	(-0.003506496457,0.00101734724)	(-0.002082836754,0.0005599795701)
	(-0.004103604774,0.001209916696)	(-0.001617742112,0.0004461897221)	(-0.003404093731,0.001008800887)	(0.009509936394,-0.001314787416)	(-0.001979766972,0.0005016807283)
	(-0.003580679693,0.0009892741919)	(-0.001918104697,0.0005009317825)	(-0.003633937498,0.001032099393)	(0.01040608898,-0.001348821123)	(-0.002255009284,0.0005899758168)
	(-0.004222701969,0.001220177821)	(-0.001986767663,0.0006827958784)	(-0.008589360879,0.003498564429)	(-0.001762322161,0.0006128221927)	(-0.008745649532,0.003611874321)
	(0.003910011854,-0.0006068899615)	(-0.001650104743,0.0005795892811)	(-0.009168519909,0.003880361927)	(-0.002104405604,0.0007256888676)	(-0.009009445408,0.003742902385)
	(-0.001920736378,0.000670230694)	(-0.009281397236,0.003935178163)	(-0.001778906869,0.0006265663703)	(-0.00957912476,0.004153883884)	(-0.001511650952,0.0005354544688)
	(-0.009504836156,0.004113915158)	(0.002968987914,-0.000443268995)	(-0.001711738793,0.0006069012242)	(-0.009849961687,0.004377779415)	(-0.001430160363,0.0005101136658)
	(-0.009859291706,0.004394575107)	(-0.001244680112,0.0004438320051)	(-0.009573625358,0.004175647867)	(-0.00097610801,0.0003499673567)	(-0.009645466311,0.004238353808)
	(0.001876646113,-0.0002805362864)	(-0.0004847002347,0.0001745207588)	(-0.009532619268,0.004170427814)	(0.0009552845103,-0.0001461768432)	(-0.0008327092611,0.0003002659994)
	(-0.01000925482,0.004548135427)	(-0.001154601906,0.0004140561887)	(-0.009907071586,0.004445224447)	(-0.00072826555,0.0002618096916)	(-0.009588937085,0.004204244356)
	(-0.0002461229034,8.89095609e-005)	(-0.009773819452,0.004348136237)	(-0.0005830906841,0.000210606972)	(-0.009988829475,0.004529306083)	(-0.0003350599821,0.0001213218072)
	(-0.01008266946,0.004639313064)	(8.146151809e-035,1.335792476e-034)	(-0.009950644317,0.004496948879)	(9.200557772e-006,-3.477258331e-006)	(3.047251224e-034,1.474268434e-035)
	(-0.01013970936,0.004744914342)	(-0.002256224884,0.0006480785542)	(-0.004985577169,0.001590872592)	(-0.002154727899,0.0006353980924)	(-0.005076198749,0.001659376015)
	(0.008499461307,-0.001217552108)	(-0.002511243889,0.0007316315537)	(-0.005630667982,0.001849100923)	(-0.002299681037,0.0006888096529)	(-0.005574785564,0.001869719119)
	(-0.002466122819,0.0006679709177)	(-0.004831717073,0.001462234441)	(-0.002370871177,0.0006622802328)	(-0.004925872897,0.001533060239)	(0.009521574639,-0.001286060538)
	(-0.002638568726,0.0007486900559)	(-0.005562905334,0.00178485284)	(-0.002770786874,0.0007637999381)	(-0.005501841358,0.001721842791)	(-0.002636550937,0.0007807612135)
	(-0.006077505279,0.002047510084)	(-0.002422913439,0.0007364509638)	(-0.006044832384,0.002077295588)	(0.007985989163,-0.001155869353)	(-0.002560380422,0.0007896621539)
	(-0.006569527413,0.002317155895)	(-0.002761921418,0.0008298595755)	(-0.006523271608,0.002251921)	(-0.002880786081,0.0008789406541)	(-0.006990635295,0.002476883612)
	(-0.002967868876,0.0009187015633)	(-0.007409360813,0.002690242259)	(-0.002312912058,0.0007584720098)	(-0.007476533555,0.002837869044)	(-0.002254344829,0.0007311187046)
	(-0.007022763835,0.002608497518)	(0.006406365552,-0.0009756794809)	(-0.002627615173,0.0008461661102)	(-0.007635843463,0.002874491943)	(-0.002851622661,0.0009021825528)
	(-0.007645773793,0.002842819561)	(-0.002671426569,0.0008351379604)	(-0.007049632408,0.002548443223)	(0.007468611854,-0.001083178465)	(-0.002456872615,0.0007828178505)
	(-0.007024020901,0.002574054978)	(-0.002209490629,0.0007489725012)	(-0.008444696482,0.003389892864)	(0.005087844211,-0.0007743721237)	(-0.002580164773,0.000863914517)
	(-0.008702232848,0.003501276083)	(-0.002343805031,0.0007978430098)	(-0.008888323366,0.003643304927)	(-0.00228605967,0.0007665347702)	(-0.008173965006,0.003225191459)
	(-0.002668592537,0.0008828837052)	(-0.008476759721,0.003352384518)	(-0.00266222592,0.0008673194074)	(-0.008012874933,0.003080956588)	(-0.002350407358,0.000778703884)
	(-0.007886807551,0.003055598585)	(0.005858568971,-0.000888653686)	(-0.001639909941,0.0003918310871)	(-0.002780109641,0.0007132238235)	(-4.277569411e-035,3.449666856e-036)
	(5.771184675e-035,-8.06353727e-036)	(0.0129698732,-0.001412968208)	(-0.0004618661932,9.556210644e-005)	(-0.000702611949,0.000148479704)	(-8.768539152e-035,7.038581732e-036)
	(1.179514701e-034,-1.549020695e-035)	(-0.0006657311538,0.0001312312684)	(-0.0009510225063,0.0001933825953)	(-0.001458353409,0.0003242215768)	(-0.002294213491,0.0005439125257)
	(-0.001030559451,0.0002302736597)	(-0.001646413925,0.0003846546056)	(-0.001072781793,0.0002196721218)	(-0.001577733477,0.0003392256674)	(-0.0008813901775,0.0001888115109)
	(-0.001363735645,0.0003038455451)	(0.01243016223,-0.001392856335)	(-0.001337076834,0.000285179581)	(-0.002030832567,0.0004598793525)	(-0.001674820915,0.0003846357465)
	(-0.002707286837,0.0006690122159)	(-0.001178357752,0.0002735836089)	(-0.001954500539,0.0004774063904)	(0.01169079209,-0.001397325783)	(-0.002102611906,0.0004976221442)
	(-0.003465982623,0.0008990416623)	(-0.002894414974,0.0007736319591)	(-0.005429955032,0.001654293072)	(-0.002988013119,0.0007702058685)	(-0.005291099637,0.001559328022)
